timestamp,a_party,b_party,duration,service_type,bytes_up,bytes_down,cell_tower_id,lac,location,session_id,imei,protocol,status
2025-08-07 01:11:17,9199338972,9199174842,0,SMS,328,439,TOWER_016,5220,"Whiteheadberg, Louisiana",SID_00000001,545098685562075,SMS-MT/MO,COMPLETED
2025-08-16 07:30:00,9199139868,9199007004,0,SMS,274,375,TOWER_008,2231,"Yolandachester, Colorado",SID_00000002,983393493665029,SMS-MT/MO,COMPLETED
2025-08-06 06:31:21,10.0.89.109,9199248889,1248,DATA,26591136,265911360,TOWER_012,9045,"Lake Kathryn, Illinois",SID_00000003,,UDP,COMPLETED
2025-08-12 16:06:11,192.168.142.92,9199053259,1716,DATA,44360316,443603160,TOWER_006,9928,"Jeffreychester, Florida",SID_00000004,,UDP,COMPLETED
2025-08-18 14:07:58,9199645247,9199316860,1780,DATA,88433782,884337820,TOWER_046,8241,"Andersonland, North Carolina",SID_00000005,,UDP,COMPLETED
2025-08-01 21:21:34,9199211061,192.168.72.157,1605,DATA,77230032,772300320,TOWER_035,4456,"Port Devon, Massachusetts",SID_00000006,,FTP,COMPLETED
2025-08-27 13:54:59,9198731412,117.15.70.231,69,VOICE,552750,551816,TOWER_024,2600,"Victoriastad, Ohio",SID_00000007,267668337854727,SIP,FAILED
2025-07-30 20:54:19,9199459931,9198875632,935,VOICE,7479233,7480442,TOWER_049,4121,"Zimmermanfort, New Hampshire",SID_00000008,344836946495245,RTP,COMPLETED
2025-08-16 04:46:01,9199011651,9199382804,1514,DATA,28984924,289849244,TOWER_020,4741,"Gregorymouth, Iowa",SID_00000009,,UDP,COMPLETED
2025-07-31 10:13:14,9199081786,9199652059,4667,DATA,185562720,1855627202,TOWER_002,1443,"Lake Pamelabury, Maine",SID_00000010,,HTTP,COMPLETED
2025-08-27 15:50:12,9198807038,9199814694,0,SMS,368,296,TOWER_009,8018,"Johnsonberg, Tennessee",SID_00000011,473376835083546,SMS-MT/MO,COMPLETED
2025-08-16 12:09:29,9199052863,9199909225,334,DATA,8862422,88624228,TOWER_014,7397,"East Jamesberg, Illinois",SID_00000012,,UDP,COMPLETED
2025-07-30 07:35:05,9199390002,9198808177,81,VOICE,647647,648212,TOWER_019,4361,"Wesleybury, Iowa",SID_00000013,215749735817360,H.323,BUSY
2025-08-28 14:17:15,9199280915,192.168.126.79,80,VOICE,640107,639413,TOWER_011,6348,"Brendaview, Alaska",SID_00000014,026764697269962,SIP,FAILED
2025-08-19 13:07:52,9199763852,192.168.142.92,223,DATA,4495858,44958584,TOWER_007,9982,"Port Abigailland, Oregon",SID_00000015,,FTP,COMPLETED
2025-08-02 02:48:10,9199424984,9198764275,25,VOICE,199004,199214,TOWER_041,7729,"East Scottstad, Connecticut",SID_00000016,228764162948073,RTP,BUSY
2025-08-10 10:26:22,9199493469,9199441368,493,VOICE,3943171,3944697,TOWER_009,8018,"Johnsonberg, Tennessee",SID_00000017,143827845998255,SIP,FAILED
2025-08-15 15:10:57,10.0.147.199,9198880852,515,DATA,5334421,53344215,TOWER_048,8843,"East Chelseyville, South Carolina",SID_00000018,,HTTP,COMPLETED
2025-08-14 15:32:45,9198879617,192.168.139.91,337,DATA,12610169,126101693,TOWER_049,4121,"Zimmermanfort, New Hampshire",SID_00000019,,FTP,COMPLETED
2025-08-21 07:45:07,192.168.241.98,9199090882,437,DATA,20111177,201111770,TOWER_026,3226,"Phillipburgh, Pennsylvania",SID_00000020,,FTP,COMPLETED
2025-08-16 04:23:09,9199768995,9199153731,0,SMS,367,141,TOWER_015,5011,"Christinafurt, Missouri",SID_00000021,545098685562075,SMS-MT/MO,COMPLETED
2025-08-07 06:09:04,10.0.212.69,117.116.88.163,0,SMS,141,202,TOWER_045,1669,"West Paula, Iowa",SID_00000022,748733175619108,SMS-MT/MO,COMPLETED
2025-08-09 00:53:46,9199441368,9199580598,29,VOICE,232061,232972,TOWER_018,6154,"Garzamouth, Massachusetts",SID_00000023,983393493665029,H.323,BUSY
2025-08-04 13:25:56,9199944658,9199046576,3,DATA,92142,921420,TOWER_047,7150,"North Crystalside, Indiana",SID_00000024,,HTTP,COMPLETED
2025-08-28 04:29:35,9199311027,9199153731,0,SMS,138,383,TOWER_014,7397,"East Jamesberg, Illinois",SID_00000025,397738523191813,SMS-MT/MO,COMPLETED
2025-08-21 06:00:29,117.142.242.77,172.16.7.58,0,SMS,144,393,TOWER_034,1262,"South Jennifer, Nevada",SID_00000026,545098685562075,SMS-MT/MO,COMPLETED
